customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00014,Male,No,Yes,No,2.0,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,48.36,96.72,1
CUST00015,Male,No,Yes,No,8.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card,53.36,426.88,0
CUST00016,Female,No,No,No,5.0,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Credit card,39.14,195.7,0
CUST00017,Female,No,Yes,No,47.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,38.42,1805.74,0
CUST00018,Female,No,Yes,No,28.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,99.53,2786.84,0
CUST00019,Female,No,Yes,No,44.0,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,22.64,996.16,0
CUST00020,Male,No,Yes,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,117.22,1406.64,0
CUST00021,Male,No,No,Yes,20.0,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,102.35,0.0,1
CUST00022,Female,No,No,No,38.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,61.27,2328.26,1
CUST00023,Male,No,Yes,No,21.0,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Two year,Yes,Bank transfer,36.96,776.16,1
CUST00024,Male,No,No,No,4.0,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,42.01,168.04,0
CUST00025,Male,No,Yes,No,16.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1212.43,19398.88,1
CUST00026,Male,Yes,No,No,29.0,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,111.0,3219.0,0
CUST00027,Male,No,No,No,5.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,43.36,216.8,0
CUST00028,Female,No,No,No,51.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,100.42,5121.42,1
CUST00029,Female,No,No,No,15.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,68.06,1020.9,1
CUST00030,Male,No,Yes,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,115.47,1154.7,0
CUST00031,Female,Yes,No,No,9.0,Yes,No,DSL,No,No,No internet service,No,No internet service,No,One year,No,Mailed check,24.62,221.58,0
CUST00032,Male,No,No,No,23.0,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,49.92,1148.16,1
CUST00033,Female,No,No,Yes,43.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,77.96,3352.28,1
CUST00034,Male,Yes,Yes,No,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.07,716.38,1
CUST00035,Female,No,No,Yes,6.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,99.14,594.84,1
CUST00036,Female,No,No,Yes,31.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,85.96,2664.76,1
CUST00037,Male,No,Yes,Yes,31.0,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,45.99,1425.69,0
CUST00038,Female,No,Yes,Yes,19.0,Yes,No,DSL,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,23.12,439.28,0
CUST00039,Male,No,No,No,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,37.07,1668.15,1
CUST00040,Male,No,No,Yes,29.0,Yes,No,DSL,No internet service,No,No,Yes,No,No,Two year,No,Mailed check,35.99,1043.71,0
CUST00041,Female,No,Yes,Yes,17.0,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,117.44,1996.48,1
CUST00042,Male,No,Yes,Yes,20.0,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,31.6,31568.4,0
CUST00043,Female,No,Yes,Yes,2.0,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,44.4,88.8,0
CUST00044,Female,No,No,No,42.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.33,769.86,1
CUST00045,Female,No,No,No,29.0,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,No,Mailed check,50.0,1450.0,0
CUST00046,Female,No,No,No,8.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,48.06,384.48,1
CUST00047,Female,No,No,Yes,7.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,102.27,715.89,1
CUST00048,Female,No,No,Yes,17.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,96.78,1645.26,0
CUST00049,Male,No,Yes,Yes,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.99,524.75,0
CUST00050,Male,No,No,Yes,16.0,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,79.64,1274.24,0
CUST00051,Female,No,No,Yes,2.0,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,30.05,60.1,0
CUST00052,Male,No,No,No,31.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.16,965.96,0
CUST00053,Male,Yes,Yes,Yes,65.0,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No,One year,No,Electronic check,28.35,1842.75,0
CUST00054,Female,Yes,No,No,14.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,1384.42,19381.88,1
CUST00055,Female,No,No,No,45.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,21.97,988.65,0
CUST00056,Female,No,No,Yes,20.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,46.13,46083.87,1
CUST00057,Male,No,No,No,10.0,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,20.05,200.5,1
CUST00058,Male,No,Yes,No,19.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,26.62,505.78,0
CUST00059,Female,No,Yes,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Two year,Yes,Electronic check,32.0,1376.0,0
CUST00060,Female,No,Yes,Yes,42.0,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,42.09,1767.7800000000002,1
CUST00061,Male,No,No,No,9.0,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card,98.68,888.12,0
CUST00062,Male,No,Yes,No,20.0,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,49.13,0.0,1
CUST00063,Male,No,Yes,No,13.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,100.45,1305.85,0
CUST00064,Male,No,No,No,32.0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer,24.44,782.08,0
CUST00065,Male,No,Yes,No,17.0,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,One year,Yes,Electronic check,80.1,1361.7,0
CUST00066,Female,No,Yes,Yes,19.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card,41.59,790.21,1
CUST00067,Female,No,Yes,No,38.0,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card,43.94,1669.72,1
CUST00068,Male,Yes,No,Yes,10.0,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.55,475.5,1
CUST00069,Male,No,No,Yes,5.0,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,79.33,396.65,0
CUST00070,Female,No,Yes,Yes,22.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,28.01,616.22,1
CUST00071,Male,No,No,No,23.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,19.18,441.14,1
CUST00072,Male,No,No,No,26.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.37,867.62,1
CUST00073,Female,No,Yes,No,71.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,22.95,1629.45,1
CUST00074,Female,No,No,No,47.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.45,2230.15,1
CUST00075,Female,No,Yes,No,20.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,19.46,0.0,1
CUST00076,Male,No,No,No,17.0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card,30.7,521.9,1
CUST00077,Female,No,No,No,36.0,Yes,Yes,DSL,No,No,No internet service,Yes,No,No,One year,No,Mailed check,43.51,1566.36,0
CUST00078,Female,No,Yes,No,47.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.92,983.24,0
CUST00079,Female,No,No,No,11.0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,81.44,895.84,1
CUST00080,Female,No,Yes,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,48.2,1976.2,0
CUST00081,Male,No,Yes,Yes,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,27.59,606.98,0
CUST00082,Female,No,No,No,14.0,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card,23.47,328.58,1
CUST00083,Male,No,No,Yes,20.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,99.35,0.0,0
CUST00084,Female,No,No,No,24.0,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,38.22,917.28,1
CUST00085,Female,No,No,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,53.92,485.28,1
CUST00086,Male,No,Yes,Yes,3.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,37.81,113.43,1
CUST00087,Male,No,No,No,20.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card,93.54,1870.8,0
CUST00088,Male,No,Yes,No,11.0,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.79,272.69,1
CUST00089,Female,Yes,No,No,14.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.44,524.16,1
CUST00090,Male,Yes,No,No,23.0,Yes,Yes,DSL,Yes,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,45.37,1043.51,0
CUST00091,Male,No,No,No,22.0,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.19,906.18,1
CUST00092,Male,No,No,No,21.0,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Electronic check,68.4,1436.4,0
CUST00093,Female,No,No,Yes,26.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,66.57,1730.82,1
CUST00094,Female,Yes,Yes,No,33.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,99.06,3268.98,0
CUST00095,Female,No,No,No,4.0,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,32.73,130.92,1
CUST00096,Female,Yes,No,Yes,38.0,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,Two year,No,Credit card,90.74,3448.12,0
CUST00097,Female,No,No,Yes,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.57,1095.7,1
CUST00098,Female,No,No,No,2.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,44.5,89.0,0
CUST00099,Male,No,Yes,No,41.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,20.27,831.07,1
CUST00100,Male,No,No,No,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,26.9,1345.0,0
CUST00101,Female,No,No,No,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,24.69,567.87,0
CUST00102,Female,No,No,No,15.0,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer,32.71,490.65,1
CUST00103,Female,No,No,No,6.0,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,22.5,135.0,0
CUST00104,Female,No,Yes,No,23.0,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Mailed check,39.09,899.07,0
CUST00105,Female,No,Yes,Yes,6.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.88,119.28,1
CUST00106,Female,No,No,Yes,23.0,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,46.34,1065.82,0
CUST00107,Female,Yes,No,No,28.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,48.96,1370.88,1
CUST00108,Male,No,Yes,No,12.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer,35.53,426.36,1
CUST00109,Female,No,No,Yes,39.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,42.81,1669.59,0
CUST00110,Female,No,No,No,11.0,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Two year,Yes,Electronic check,18.39,202.29,0
CUST00111,Male,No,No,No,31.0,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,34.95,1083.45,0
CUST00112,Male,No,Yes,No,42.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card,27.34,1148.28,0
CUST00113,Male,No,Yes,No,32.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card,51.7,1654.4,1
CUST00114,Female,No,Yes,Yes,21.0,No,No phone service,Fiber optic,No,No,No,No internet service,No,No,Two year,No,Electronic check,25.91,544.11,0
CUST00115,Male,No,Yes,No,32.0,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,33.35,1067.2,0
CUST00116,Female,No,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Two year,Yes,Electronic check,107.81,5067.07,0
CUST00117,Female,No,Yes,No,11.0,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,One year,No,Mailed check,37.47,412.17,1
CUST00118,Male,No,No,Yes,29.0,No,No phone service,Fiber optic,No internet service,No,No,No,Yes,No internet service,Two year,Yes,Electronic check,41.41,1200.89,0
CUST00119,Female,No,No,No,38.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,41.19,1565.2199999999998,1
CUST00120,Female,Yes,No,Yes,24.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,55.0,1320.0,1
CUST00121,Female,No,No,No,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.76,1194.0,1
CUST00122,Female,Yes,Yes,No,22.0,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,18.45,405.9,1
CUST00123,Male,No,No,Yes,8.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,18.68,149.44,0
CUST00124,Male,No,Yes,No,30.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,45.2,1356.0,0
CUST00125,Female,No,Yes,No,48.0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,42.55,2042.4,0
CUST00126,Female,No,Yes,Yes,12.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,86.05,1032.6,1
CUST00127,Male,No,No,No,10.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.27,462.7,1
CUST00128,Male,No,No,No,31.0,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,38.43,1191.33,1
CUST00129,Male,No,Yes,No,20.0,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,66.32,0.0,1
CUST00130,Male,No,No,No,34.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,35.13,1194.42,1
CUST00131,Female,Yes,Yes,Yes,3.0,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,Yes,Mailed check,88.78,266.34,0
CUST00132,Female,No,Yes,Yes,46.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,45.97,2114.62,0
CUST00133,Male,No,Yes,Yes,12.0,Yes,No,DSL,No internet service,No,No,No,No,No,One year,Yes,Bank transfer,36.15,433.8,0
CUST00134,Male,Yes,No,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1072.54,41829.06,0
CUST00135,Female,Yes,Yes,No,6.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,63.73,382.38,1
CUST00136,Male,No,No,No,3.0,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,70.86,212.57999999999998,0
CUST00137,Male,No,No,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,69.08,552.64,1
CUST00138,Male,No,No,No,32.0,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,56.57,-64.03,0
CUST00139,Male,No,Yes,Yes,18.0,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,59.23,1066.14,0
CUST00140,Male,No,Yes,No,16.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,25.95,415.2,0
CUST00141,Female,No,No,Yes,17.0,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,101.02,1717.34,0
CUST00142,Male,Yes,No,No,46.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,34.82,1601.72,0
CUST00143,Female,No,Yes,No,28.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer,89.18,2497.04,0
CUST00144,Male,Yes,No,No,29.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,35.41,1026.89,1
CUST00145,Male,No,Yes,Yes,11.0,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Mailed check,28.72,315.92,0
CUST00146,Female,No,No,No,20.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,No,Bank transfer,77.77,1555.3999999999999,1
CUST00147,Female,No,Yes,No,47.0,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,102.8,4831.6,1
CUST00148,Male,No,No,Yes,27.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,One year,No,Electronic check,32.05,865.35,0
CUST00149,Male,No,Yes,No,65.0,No,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,46.8,3042.0,1
CUST00150,Male,No,No,No,3.0,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,73.78,221.34,1
CUST00151,Female,No,No,No,6.0,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,19.23,115.38,0
CUST00152,Female,No,No,No,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.72,499.56,0
CUST00153,Male,No,No,Yes,25.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,43.03,1075.75,0
CUST00154,Female,No,Yes,Yes,40.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,39.14,1565.6,0
CUST00155,Male,Yes,No,No,29.0,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer,96.78,2806.62,1
CUST00156,Female,No,No,No,52.0,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,Two year,Yes,Credit card,98.75,5135.0,0
CUST00157,Female,No,No,No,45.0,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Bank transfer,43.34,1950.3000000000002,0
CUST00158,Male,No,Yes,Yes,20.0,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,113.2,2264.0,0
CUST00159,Male,No,Yes,No,19.0,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,40.02,760.38,1
CUST00160,Male,No,No,Yes,10.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.91,299.1,0
CUST00161,Male,No,Yes,Yes,2.0,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,One year,Yes,Credit card,27.46,54.92,0
CUST00162,Male,No,Yes,No,13.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer,40.67,528.71,0
CUST00163,Male,Yes,No,Yes,14.0,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card,40.02,560.28,1
CUST00164,Female,No,No,Yes,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,30.67,705.41,1
CUST00165,Male,No,Yes,No,5.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,79.53,397.65,0
CUST00166,Female,No,No,No,15.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.81,327.15,1
CUST00167,Female,Yes,Yes,Yes,2.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.45,42.9,1
CUST00168,Male,No,No,No,29.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,23.71,687.59,1
CUST00169,Female,No,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer,68.98,68.98,0
CUST00170,Male,No,Yes,Yes,4.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer,23.09,92.36,1
CUST00171,Female,No,No,No,13.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,32.98,428.74,1
CUST00172,Female,No,No,Yes,41.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,20.78,851.98,0
CUST00173,Male,No,Yes,No,26.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer,82.5,2145.0,1
CUST00174,Female,No,No,No,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,78.1,1171.5,0
CUST00175,Female,No,No,Yes,6.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card,24.21,145.26,0
CUST00176,Female,No,No,Yes,4.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,22.75,91.0,0
CUST00177,Male,No,No,Yes,42.0,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Credit card,33.07,1388.94,0
